Group;Domain;Name;Surname;DisplayName;DisplaySurname;DisplayNameSurname;Login;Full-Login;OU;Groups
iSEC-Telecom;isec-telecom.local;olivier;rousseaux;Olivier;ROUSSEAUX;Olivier ROUSSEAUX;olivier.rousseaux;olivier.rousseaux@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;lucie;detritch;Lucie;DETRITCH;Lucie DETRITCH;lucie.detritch;lucie.detritch@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;lionel;gabru;Lionel;GABRU;Lionel GABRU;lionel.gabru;lionel.gabru@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;france;ballet;France;BALLET;France BALLET;france.ballet;france.ballet@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;paul;lemarie;Paul;LEMARIE;Paul LEMARIE;paul.lemarie;paul.lemarie@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;hugues;vanchez;Hugues;VANCHEZ;Hugues VANCHEZ;hugues.vanchez;hugues.vanchez@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;luc;dupre;Luc;DUPRE;Luc DUPRE;luc.dupre;luc.dupre@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;jean;tremis;Jean;TREMIS;Jean TREMIS;jean.tremis;jean.tremis@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;gregoire;jolet;Gregoire;JOLET;Gregoire JOLET;gregoire.jolet;gregoire.jolet@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;olivia;gabriel;Olivia;GABRIEL;Olivia GABRIEL;olivia.gabriel;olivia.gabriel@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;joel;didier;Joel;DIDIER;Joel DIDIER;joel.didier;joel.didier@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;louis;marjolet;Louis;MARJOLET;Louis MARJOLET;louis.marjolet;louis.marjolet@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;charles;agostini;Charles;AGOSTINI;Charles AGOSTINI;charles.agostini;charles.agostini@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;vicente;vaz;Vicente;VAZ;Vicente VAZ;vicente.vaz;vicente.vaz@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;hélène;mingea;Hélène;MINGEA;Hélène MINGEA;hélène.mingea;hélène.mingea@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;daniele;troc;Daniele;TROC;Daniele TROC;daniele.troc;daniele.troc@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;bastien;pal;Bastien;PAL;Bastien PAL;bastien.pal;bastien.pal@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;nora;busquet;Nora;BUSQUET;Nora BUSQUET;nora.busquet;nora.busquet@isec-telecom.local;;
