Group;Domain;Name;Surname;Login;Full-Login;OU;Groups
iSEC-Group;isec-group.local;oliver;komski;oliver.komski;oliver.komski@isec-group.local;;
iSEC-Group;isec-group.local;daphne;meynot;daphne.meynot;daphne.meynot@isec-group.local;;
iSEC-Group;isec-group.local;julie;bertali;julie.bertali;julie.bertali@isec-group.local;;
iSEC-Group;isec-group.local;yves;tyrael;yves.tyrael;yves.tyrael@isec-group.local;;
iSEC-Group;isec-group.local;paolo;nolan;paolo.nolan;paolo.nolan@isec-group.local;;
iSEC-Group;isec-group.local;olivier;rousseaux;olivier.rousseaux;olivier.rousseaux@isec-group.local;;
iSEC-Group;isec-group.local;pedro;aubergier;pedro.aubergier;pedro.aubergier@isec-group.local;;
iSEC-Group;isec-group.local;ludwig;corret;ludwig.corret;ludwig.corret@isec-group.local;;
iSEC-Group;isec-group.local;herve;leleu;herve.leleu;herve.leleu@isec-group.local;;
iSEC-Group;isec-group.local;philippe;marie;philippe.marie;philippe.marie@isec-group.local;;
iSEC-Group;isec-group.local;denise;dupre;denise.dupre;denise.dupre@isec-group.local;;
iSEC-Group;isec-group.local;baptiste;colmard;baptiste.colmard;baptiste.colmard@isec-group.local;;
iSEC-Group;isec-group.local;laura;deget;laura.deget;laura.deget@isec-group.local;;
iSEC-Group;isec-group.local;denis;vinitost;denis.vinitost;denis.vinitost@isec-group.local;;
iSEC-Group;isec-group.local;sylvie;duchene;sylvie.duchene;sylvie.duchene@isec-group.local;;
iSEC-Group;isec-group.local;didier;arnaud;didier.arnaud;didier.arnaud@isec-group.local;;
