Group;Domain;Name;Surname;Login;Full-Login;OU;Groups
iSEC-Telecom;isec-telecom.local;olivier;rousseaux;olivier.rousseaux;olivier.rousseaux@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;lucie;detritch;lucie.detritch;lucie.detritch@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;lionel;gabru;lionel.gabru;lionel.gabru@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;france;ballet;france.ballet;france.ballet@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;paul;lemarie;paul.lemarie;paul.lemarie@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;hugues;vanchez;hugues.vanchez;hugues.vanchez@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;luc;dupre;luc.dupre;luc.dupre@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;jean;tremis;jean.tremis;jean.tremis@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;gregoire;jolet;gregoire.jolet;gregoire.jolet@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;olivia;gabriel;olivia.gabriel;olivia.gabriel@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;joel;didier;joel.didier;joel.didier@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;louis;marjolet;louis.marjolet;louis.marjolet@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;charles;agostini;charles.agostini;charles.agostini@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;vicente;vaz;vicente.vaz;vicente.vaz@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;hélène;mingea;hélène.mingea;hélène.mingea@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;daniele;troc;daniele.troc;daniele.troc@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;bastien;pal;bastien.pal;bastien.pal@isec-telecom.local;;
iSEC-Telecom;isec-telecom.local;nora;busquet;nora.busquet;nora.busquet@isec-telecom.local;;
